algorithm,scenario,count,mean,median,std,min,max,p95
POA,poa_100tps,6000,14.8175,14.0,8.967492946096455,4.0,44.0,34.0
POA,poa_500tps,30000,12.566333333333333,14.0,6.1048485262185705,4.0,24.0,24.0
POA,poa_50tps,3000,12.256666666666666,14.0,5.885490794276956,4.0,24.0,24.0
POS,pos_100tps,6000,3.949333333333333,2.0,5.984012111929167,0.0,41.0,13.0
POS,pos_500tps,30000,3.5755,2.0,4.644066321131371,0.0,33.0,13.0
POS,pos_50tps,3000,3.2706666666666666,2.0,3.7325661734212527,0.0,16.0,12.0
POW,pow_100tps,6000,57.82566666666666,56.0,43.877041912865906,3.0,163.0,142.0
POW,pow_500tps,30000,231.0807,266.0,102.5113925719006,6.0,372.0,366.0
POW,pow_50tps,3000,41.39533333333333,34.0,21.08473144692512,0.0,78.0,66.0
